Subject,Age,Batch,Timepoint,IDP1,IDP2,IDP3,IDP4,IQM_01,IQM_02,IQM_03,IQM_04,IQM_05,IQM_06
S001,42,B2,1,171108.986093784,139684.965804716,149831.496247955,113820.194754712,79.8042006275687,79.9170207995458,78.7327871840992,77.2695910157957,78.4128884936047,78.5885137207854
S001,42,B2,2,169604.335269003,137879.353018484,149494.040749032,113819.574566455,78.9576394529476,79.6048196437903,79.509912525661,76.5084330846266,76.578819639889,79.7213592575209
S002,77,B3,1,154736.987483244,124492.235336975,129643.347764057,102087.246839983,0.985442600915762,3.90514754880218,0.539150948612616,3.20618130497158,2.38552459775387,3.06275897362372
S002,77,B1,2,170977.050602611,138418.651480814,150795.215972816,114344.221631752,25.5939212632986,23.8606788383354,23.5800567606521,26.4308334274147,26.987387152374,25.7060367327349
S003,64,B1,1,170881.979058363,133561.519146395,138832.824661416,109612.28091707,25.3080626585647,23.0084989397999,23.641661748471,26.025975986329,25.1125948176653,23.7632075684966
S003,64,B1,2,168055.238539665,128828.286784252,134658.374324822,106810.862329464,24.6277592512693,25.1696885526265,23.7951820054876,24.550554146995,23.7039561595706,23.9821546886175
S004,56,B2,1,184056.653774694,140249.955620564,163880.723940141,123374.452093359,80.0994370306213,78.5548976459364,82.4758266726353,77.3109488967182,79.9982607492029,79.9724799646901
S004,56,B3,2,141542.612184688,104298.770443427,119703.500178004,91659.8720622657,2.07948283219609,1.96439185159835,0.29354536219041,4.03582452124501,1.33859567681413,3.25909869468493
S005,29,B2,1,162631.361120441,129300.048301429,144473.296352893,113166.457991545,82.1378129425091,79.0148676254249,79.0145961196305,76.878030576903,78.478676772944,78.5747202062748
S005,29,B3,2,123152.466937402,94135.2773848047,100440.888216653,80566.5167129644,0.265706072685712,2.35308429304063,2.3000191885384,2.82455083926995,2.77280953535335,2.39270220884527
S006,29,B1,1,145425.295041359,106441.245305492,124090.907404347,92842.4224128141,26.3155202156137,25.7220641011974,25.2875175399888,25.2160346282373,25.7063334057749,25.4324016147015
S006,29,B3,2,126111.281617544,91278.8538907935,101735.385953437,77041.5645625851,0.524248737884907,2.71462641551186,0.872916322204039,3.79883548964792,3.38493733113156,1.36365555748674
S007,23,B2,1,158239.40849226,130417.974024117,144077.281128837,106604.729893765,79.6909686298804,78.9505851800528,77.8726286750663,77.2088601344321,76.1732949448388,78.1345247612192
