statistic,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
EXPV,0.28118356084819085,0.17611471995387107,0.43451907280012325,0.2604118578815485,0.2529577288763809
MACE,0.010143329658213886,0.007210584343991193,0.009415656008820305,0.003792723263506084,0.011841234840132303
MAPE,0.05423399343718836,0.051489792203736326,0.05026620475271992,0.04613771530633281,0.05753001150915962
MSLL,-0.1495343140921479,-0.08091634189060493,-0.27716020616757375,-0.13486108285262266,-0.13580438622885516
NLL,1.269404219112525,1.3380221913140677,1.141778327037099,1.2840774503520502,1.2831341469758175
R2,0.2811824082180844,0.17611349908751617,0.4345181749666306,0.26041183141314883,0.2529577118768571
RMSE,0.16163457576603193,0.154893731491287,0.14705467371361686,0.1572461649483884,0.1920693666183982
Rho,0.47642139329746336,0.37377005651171863,0.6351833274742441,0.501449059587425,0.4561223161857301
Rho_p,1.4153684092792104e-52,1.8886644965430385e-31,1.251705329139409e-103,6.404265386442525e-59,8.393671274175103e-48
SMSE,0.7188175917819155,0.8238865009124838,0.5654818250333694,0.7395881685868512,0.7470422881231428
ShapiroW,0.996962418532931,0.9978994985374157,0.9925044173573596,0.9979998461856263,0.9940487276282589
