statistic,lh_G_and_S_frontomargin,lh_G_and_S_occipital_inf,lh_G_and_S_paracentral,lh_G_and_S_subcentral,lh_G_and_S_transv_frontopol
EXPV,0.28117526790967917,0.11838334613508905,0.3881095502805807,0.24171032169837692,0.2594351128588235
MACE,0.009833024118738407,0.008311688311688326,0.005343228200371063,0.007384044526901672,0.01239332096474956
MAPE,0.055071888584264934,0.0530658022298131,0.05131681526755455,0.046247033066302595,0.05799908668945334
MSLL,-0.1530764779100373,-0.05296325945276226,-0.23811066052362273,-0.12469193175876758,-0.14225639762104736
NLL,1.2658620552946356,1.3659752737519106,1.18082787268105,1.2942466014459053,1.276682135583625
R2,0.28117399999188486,0.11837925181980113,0.38810873818352787,0.2417102607103654,0.2594350168450962
RMSE,0.1628658241408338,0.16025191472362355,0.14874988291917265,0.15916536903989426,0.19413267945673024
Rho,0.46561296533972957,0.3238536910088915,0.5922633467849839,0.48784003379190216,0.4657534583080646
Rho_p,4.181460549051487e-59,9.638576342945897e-28,4.797316152446531e-103,1.5554649964831148e-65,3.8208387626125486e-59
SMSE,0.7188260000081151,0.881620748180199,0.6118912618164721,0.7582897392896346,0.7405649831549037
ShapiroW,0.9966799866810742,0.9956964052487252,0.9952451672143056,0.995462402386916,0.9929564323697873
